"Num_Acc","date","an","mois","jour","hrmn","dep","com","lat","long","agg","int","col","lum","atm","catr","circ","nbv","prof","plan","lartpc","larrout","surf","infra","situ","grav","sexe","age","trajet","secuexist","equipement","obs","obsm","choc","manv","vehiculeid","typevehicules","manoeuvehicules","numVehicules"
201900009339,"2019-11-28",2019,"novembre","jeudi","18:00","37","37273",47.395205,0.772795,2,2,3,3,8,4,2,2,1,1,,,1,0,1,"4",1,46,9,1,"2",0,2,1,19,"201900009339B01","7","16",1
201900011406,"2019-09-13",2019,"septembre","vendredi","08:10","37","37214",47.41989,0.66385,2,1,2,1,1,4,2,2,1,1,,,1,0,1,"4",1,10,2,2,,0,2,1,25,"201900011406B01","7","16",1
201900013102,"2019-12-31",2019,"décembre","mardi","15:10","37","37122",47.3524895,0.6883621,2,1,6,1,5,4,1,1,1,1,,,1,5,5,"4",1,32,5,2,,0,2,2,15,"201900013102A01","7","9",1
201900014666,"2019-11-20",2019,"novembre","mercredi","19:20","37","37261",47.38378,0.67284,2,1,6,3,1,4,2,2,1,1,,,1,0,1,"3",1,54,1,1,"2",1,0,1,1,"201900014666B01","7","24",1
201900016053,"2019-08-06",2019,"août","mardi","05:35","37","37250",47.257989,0.694458,1,1,3,3,1,4,2,2,1,1,,,1,0,1,"4",1,37,1,2,,0,2,1,1,"201900016053A01","7","15",1
201900017535,"2019-04-16",2019,"avril","mardi","13:00","37","37113",46.91367,0.806092,1,1,1,1,1,3,2,2,3,3,,,2,0,1,"3",1,65,5,2,,6,2,1,1,"201900017535B01","7","13",1
201900017951,"2019-06-26",2019,"juin","mercredi","13:50","37","37016",47.2056897,0.9694791,2,3,3,1,1,3,2,2,2,1,,,1,0,1,"4",1,17,5,2,,0,2,1,9,"201900017951B01","7","1",1
201900021571,"2019-08-02",2019,"août","vendredi","20:00","37","37206",47.4838875,0.6624535,2,3,3,1,1,3,2,2,2,1,,,1,0,1,"3",1,37,5,1,"2",0,2,1,1,"201900021571B01","7","15",1
201900029857,"2019-01-25",2019,"janvier","vendredi","14:45","37","37139",47.4261434,0.494701,1,1,3,1,1,3,2,2,1,1,,,2,0,1,"3",1,63,5,1,"2",13,0,8,1,"201900029857B01","7","17",1
201900030581,"2019-03-08",2019,"mars","vendredi","08:15","37","37178",47.15017,0.396783,2,1,7,1,1,4,2,2,2,1,,,1,0,1,"2",2,70,3,2,,0,0,0,1,"201900030581A01",,,
201900040531,"2019-10-30",2019,"octobre","mercredi","08:20","37","37104",47.303156,0.771266,1,1,3,1,2,4,2,2,1,1,,,2,0,1,"3",1,52,1,1,"4",0,2,3,1,"201900040531A01","7","1",1
201900040708,"2019-01-15",2019,"janvier","mardi","07:45","37","37261",47.41838,0.70446,2,1,3,1,1,4,3,2,1,1,,,1,0,1,"1",1,13,2,2,,0,2,4,19,"201900040708B01","32","1",1
201900041724,"2019-12-12",2019,"décembre","jeudi","13:35","37","37109",47.4036904,0.6031199,2,1,3,1,2,4,2,2,1,1,,,2,0,1,"3",1,6,5,1,"2",0,2,0,26,"201900041724B01","99","1",1
201900042774,"2019-01-14",2019,"janvier","lundi","13:40","37","37261",47.40158,0.66838,2,2,3,1,1,4,1,1,1,1,,,1,5,1,"4",1,43,5,2,,0,2,1,25,"201900042774A01","7","1",1
201900046927,"2019-07-17",2019,"juillet","mercredi","18:30","37","37129",47.1082121,0.2694023,1,3,1,1,1,3,2,2,1,1,,,1,0,1,"3",1,16,5,2,,0,2,7,19,"201900046927B01","7","1",1
201900050727,"2019-07-14",2019,"juillet","dimanche","09:15","37","37089",47.160631,0.32995,2,1,3,1,1,3,2,2,2,3,,,1,0,1,"3",1,32,5,1,"2",0,2,1,1,"201900050727B01","7","15",1
201900051347,"2019-02-20",2019,"février","mercredi","17:54","37","37233",47.3949086,0.7221094,2,3,3,1,1,4,2,2,1,1,,,1,0,1,"4",1,40,0,2,,0,2,7,19,"201900051347B01","7","15",1
